sim_id,capacity_norm,seal_risk_norm,heterogeneity_norm,suitability_score,poro_mean,logk_mean,caprock_margin_peak,rank
885,0.7347703295057573,0.5778253064250085,0.40368666730263064,73.22,0.2935303747653961,1.667366046557347,0.639457308608073,60
23,0.6544868247617368,0.5095950529179393,0.30691391165426934,73.17,0.28902503848075867,1.6021837763573794,0.6148824919440069,61
968,0.7289493054176257,0.6531628780057309,0.28348549453053046,72.96,0.2932037115097046,1.665456949182663,0.6665920020079794,62
834,0.6819530728060831,0.4939589531559027,0.413459337461931,72.64,0.2905663847923279,1.6214475145235068,0.6092507631251585,63
312,0.647361500412639,0.3873491820511069,0.48757576925619567,72.62,0.28862518072128296,1.5926710586717485,0.5708526120875551,64
591,0.7517113630256367,0.5920399425723147,0.45169889589908757,72.24,0.2944810688495636,1.6806672100105118,0.6445770620797535,65
456,0.7577373789300277,0.5820896972692006,0.4825627079489107,72.21,0.2948192358016968,1.6836910630449657,0.6409932346495772,66
152,0.5663270670981763,0.27221062925792733,0.4708707330030197,72.14,0.2840777039527893,1.5243730177995967,0.5293826089669434,67
261,0.6840252957776997,0.3006399015525394,0.7244346255245356,72.07,0.29068267345428467,1.618072653687888,0.5396221159103043,68
206,0.6092776322064448,0.31769746492930695,0.5152426780341995,71.95,0.28648799657821655,1.5587292762644338,0.5457658200763209,69
850,0.5513807207852143,0.14925402658372947,0.6232124549594314,71.95,0.28323894739151,1.5086756480315935,0.48509674143690756,70
753,0.6964373909321392,0.6403697054731554,0.2503873386609312,71.9,0.2913792133331299,1.6416167133915953,0.661984223883467,71
138,0.6565027546439144,0.24378135696331493,0.7568679262916331,71.49,0.28913816809654236,1.5936105157136489,0.5191431020235825,72
535,0.6578930877396838,0.44136479941087,0.46391198804272904,71.49,0.28921619057655334,1.6012346435411304,0.5903076752799408,73
97,0.5869908794573772,0.37171308228907,0.3923698106040459,71.45,0.28523731231689453,1.541555702840645,0.5652208832687066,74
524,0.7202323736246695,0.685856541144535,0.2565711909616744,71.36,0.29271453619003296,1.659103921847322,0.6783674349928445,75
68,0.7593327038420564,0.5337599343683596,0.5891388193766879,71.12,0.2949087619781494,1.6855686807072672,0.6235860728458636,76
401,0.7690576005761014,0.5806682336544698,0.5506521609459698,70.85,0.2954545021057129,1.6943135192278773,0.6404812593024092,77
279,0.6897220502155601,0.37597747313326174,0.6608611267888909,70.79,0.2910023629665375,1.6258979713895303,0.5667568093102107,78
174,0.6540455081832096,0.4541579719434455,0.45583165675000736,70.74,0.2890002727508545,1.5996116181064453,0.5949154534044532,79
496,0.7452721770874381,0.5735609155808168,0.5054006691403224,70.72,0.2941197156906128,1.6759237856719198,0.6379213825665689,80
472,0.7782615206993938,0.6815921503003433,0.4260065260238822,70.71,0.29597100615501404,1.7031941217982571,0.6768315089513404,81
195,0.4895963997913969,0.18123695791516825,0.45716168996153855,70.63,0.27977174520492554,1.4562445685811192,0.4966161867481886,82
409,0.755015130095454,0.711442886209686,0.32538439391808854,70.63,0.29466646909713745,1.684909997006075,0.6875829912418693,83
287,0.6889589071068433,0.35607698252703346,0.6934822020173265,70.62,0.29095953702926636,1.620927596827641,0.5595891544498581,84
804,0.6337598154436374,0.492537489541172,0.352473228680654,70.56,0.2878618836402893,1.5850355773360765,0.6087387877779904,85
876,0.8286321522759933,0.6545843416204615,0.5965065982696756,70.56,0.29879769682884216,1.7432510883786017,0.6671039773551475,86
176,0.5538130071024885,0.2530208704590641,0.513144535300199,70.51,0.28337544202804565,1.5115481847965775,0.5224709417801748,87
585,0.7324830244471329,0.42999309049302514,0.7009035999938844,70.28,0.2934020161628723,1.6584941709451964,0.5862118725025964,88
455,0.7143619603165583,0.49680188038536377,0.5600896579985353,70.11,0.2923851013183594,1.6467096245627824,0.6102747138194945,89
91,0.6786110689207977,0.5010662712295555,0.4709482545696272,69.86,0.2903788387775421,1.618780685105079,0.6118106398609986,90
251,0.7122398170580807,0.5451316432862044,0.4891905865561669,69.86,0.29226601123809814,1.6459490992812675,0.627681875623208,91
418,0.7404474344690022,0.5223882254505148,0.595435939299752,69.8,0.2938489615917206,1.6697599378311596,0.6194902700685193,92
64,0.8471562961696271,0.6943853228329188,0.6077792030739885,69.67,0.29983723163604736,1.7545591028078367,0.6814392870758528,93
120,0.6226934437669212,0.5380243252125516,0.2827633596038131,69.61,0.2872408628463745,1.5749771148723553,0.6251219988873679,94
198,0.6027327639588275,0.3120116104703845,0.5732885660642021,69.56,0.2861207127571106,1.5528482453963566,0.5437179186876487,95
202,0.6818436730284939,0.3006399015525394,0.788091136937756,69.56,0.290560245513916,1.6145381699535033,0.5396221159103043,96
445,0.7782763905720759,0.6105189695638127,0.5647603323866371,69.54,0.2959718406200409,1.7005022670650276,0.6512327415929381,97
330,0.6641724225465506,0.6190477512521965,0.2675327404799748,69.51,0.28956857323646545,1.6089357447899806,0.6543045936759464,98
572,0.6377906130742294,0.4470506538697924,0.46000759280677384,69.5,0.2880880832672119,1.5850969468067928,0.5923555766686129,99
789,0.6757379970918778,0.5337599343683596,0.4284001120617313,69.37,0.2902176082134247,1.6171277820438847,0.6235860728458636,100
831,0.7134633951530588,0.5437101796714741,0.5100283836602626,69.29,0.2923346757888794,1.645521788120788,0.62716990027604,101
749,0.6102064681821899,0.4015638181984128,0.4691692422848276,69.14,0.28654012084007263,1.560404233383479,0.5759723655592355,102
760,0.6904501429100978,0.5920399425723147,0.38423995164376945,69.13,0.291043221950531,1.6287334326120795,0.6445770620797535,103
884,0.6331002303768132,0.3262262466176904,0.6408422589009294,69.09,0.2878248691558838,1.578063096451864,0.5488376721593291,104
53,0.6241443184871817,0.41719991796044964,0.48226651096316453,69.08,0.2873222827911377,1.5728915637514977,0.581604094378084,105
680,0.706070944162566,0.4001423545836824,0.713727820487615,69.04,0.2919198274612427,1.6360762816737313,0.5754603902120675,106
89,0.5780508995741905,0.23240964804547012,0.6457970713644162,69.02,0.28473562002182007,1.5309014984470823,0.5150472992462382,107
78,0.5325597105048215,0.22956672081600907,0.5466280379571431,68.65,0.2821827530860901,1.4921398654171294,0.5140233485519021,108
822,0.7604028036082808,0.5479745705156658,0.6429404016349298,68.49,0.2949688136577606,1.6830593084603058,0.6287058263175441,109
199,0.6943598572917076,0.5422887160567433,0.4866675825696203,68.48,0.2912626266479492,1.6291872875801359,0.626657924928872,110
674,0.7189015200196283,0.6233121420963882,0.4269085755864345,68.46,0.2926398515701294,1.6546526516560789,0.6558405197174505,111
419,0.5710525002097714,0.3845062548216455,0.4205914292586634,68.28,0.284342885017395,1.5262250172856562,0.569828661393219,112
556,0.5091577173046019,0.1705759808046886,0.5898698908173335,68.17,0.2808694839477539,1.4691524652847208,0.4927763716444282,113
870,0.6142415143478339,0.3347550283060742,0.6065991525600744,68.16,0.28676655888557434,1.5613968419935815,0.5519095242423374,114
388,0.6438607075297849,0.4740584625496741,0.4717963620420817,68.15,0.28842872381210327,1.5904306548948872,0.6020831082648058,115
311,0.6419817929030346,0.4314145541077558,0.532454942204442,68.1,0.2883232831954956,1.588856878055451,0.5867238478497645,116
29,0.6062000996281469,0.4399433357961393,0.43098513330156385,68.07,0.28631529211997986,1.5599571068702673,0.5897956999327727,117
207,0.6320078258015658,0.518123834606323,0.37905741957837313,68.04,0.2877635657787323,1.579584847862595,0.6179543440270152,118
71,0.7774633271764979,0.7924663122493308,0.33475492095061254,67.91,0.29592621326446533,1.7021402870797941,0.7167655860304478,119
324,0.5601342961929939,0.29211111986415594,0.5430902551299358,67.87,0.2837301790714264,1.519076903321623,0.5365502638272961,120
886,0.6929227903103661,0.565032133892433,0.467013281382399,67.82,0.2911819815635681,1.6293752787212534,0.6348495304835606,121
